round,hour,n_to_s_capacity,s_to_n_capacity,north,south,net
1,1,2500,5000,9857,9287,19144
1,2,2500,5000,14078,8642,22720
1,3,2500,5000,6236,16406,22642
1,4,2500,5000,13025,15476,28501
2,1,2500,5000,5291,13604,18895
2,2,2500,5000,7214,17263,24477
2,3,2500,5000,5230,16873,22103
2,4,2500,5000,7343,20023,27366
3,1,2500,5000,11034,8392,19426
3,2,2500,5000,14205,7302,21507
3,3,2500,5000,13872,8223,22095
3,4,2500,5000,17026,6342,23368
4,1,2500,5000,12398,14584,26982
4,2,2500,5000,12826,15201,28027
4,3,2500,5000,15820,13518,29338
4,4,2500,5000,14736,15826,30562
