portfolio_id,portfolio_name,unit_id,unit_name,unit_location,unit_capacity,cost_per_mwh,cost_daily_om,carbon_per_mwh,bid_base,bid_up,bid_down,base_price,activated,mwh_produced_initially,mwh_produced_base,mwh_adjusted_down,mwh_adjusted_up,mwh_produced,carbon_produced,base_revenue,adjust_down_revenue,adjust_up_revenue,revenue,cost_var,cost_om,cost_carbon,profit
1,Big Coal,1001,HUNTINGTON BEACH 1&2,South,600,39.5,4000,0,0.0,500.0,500.0,0,1,600,600,0,0,600,0,0,0.0,-0.0,0.0,23700.0,0,0.0,-23700.0
1,Big Coal,1002,REDONDO 5&6,South,550,40.94,3500,0,0.0,500.0,500.0,0,1,550,550,0,0,550,0,0,0.0,-0.0,0.0,22517.0,0,0.0,-22517.0
1,Big Coal,1003,REDONDO 7&8,South,1300,41.54,4500,0,0.0,500.0,500.0,0,1,1300,1300,0,0,1300,0,0,0.0,-0.0,0.0,54002.0,0,0.0,-54002.0
1,Big Coal,1004,HUNTINGTON BEACH 5,South,700,66.5,1500,0,2.0,500.0,500.0,0,1,700,700,0,0,700,0,0,0.0,-0.0,0.0,46550.0,0,0.0,-46550.0
1,Big Coal,1000,FOUR CORNERS,South,2660,36.5,10000,0,414.31,500.0,500.0,0,1,2660,2660,0,0,2660,0,0,0.0,-0.0,0.0,97090.0,0,0.0,-97090.0
1,Big Coal,1005,ALAMITOS 7,South,350,73.72,0,0,500.0,500.0,500.0,0,1,350,350,0,0,350,0,0,0.0,0.0,0.0,25802.0,0,0.0,-25802.0
2,Big Gas,2000,EL SEGUNDO 3&4,South,1050,41.22,4500,0,500.0,500.0,500.0,0,1,1050,1050,0,0,1050,0,0,0.0,0.0,0.0,43281.0,0,0.0,-43281.0
2,Big Gas,2001,ENCINA,South,1200,41.67,4000,0,500.0,500.0,500.0,0,1,1200,1200,0,0,1200,0,0,0.0,0.0,0.0,50004.0,0,0.0,-50004.0
2,Big Gas,2002,SOUTH BAY,South,980,41.83,4000,0,500.0,500.0,500.0,0,1,980,980,0,0,980,0,0,0.0,0.0,0.0,40993.4,0,0.0,-40993.4
2,Big Gas,2003,EL SEGUNDO 1&2,South,560,44.83,2000,0,500.0,500.0,500.0,0,1,560,560,0,0,560,0,0,0.0,0.0,0.0,25104.8,0,0.0,-25104.8
2,Big Gas,2004,LONG BEACH,South,770,52.5,2500,0,500.0,500.0,500.0,0,1,770,770,0,0,770,0,0,0.0,0.0,0.0,40425.0,0,0.0,-40425.0
2,Big Gas,2005,NORTH ISLAND,South,210,65.5,0,0,500.0,500.0,500.0,0,1,210,210,0,0,210,0,0,0.0,0.0,0.0,13755.0,0,0.0,-13755.0
2,Big Gas,2006,KEARNY,South,300,90.06,0,0,500.0,500.0,500.0,0,1,300,300,0,0,300,0,0,0.0,0.0,0.0,27018.0,0,0.0,-27018.0
